year,station_key,station_jp,inner,outer,grad_log
2009,三島,三島,12.189688266538479,11.795773517137501,0.39391474940097737
2010,三島,三島,12.18384534134298,11.789605557744554,0.39423978359842593
2011,三島,三島,12.102649964178978,11.787285672369988,0.31536429180899006
2012,三島,三島,12.09972751182033,11.784362100010833,0.3153654118094966
2013,三島,三島,12.101251092660709,11.783956880494632,0.3172942121660771
2014,三島,三島,12.10701881934903,11.771992491566685,0.3350263277823444
2015,三島,三島,12.111442992643715,11.774453670483048,0.336989322160667
2016,三島,三島,12.117773144209144,11.77519744364979,0.3425757005593546
2017,三島,三島,12.12278505457047,11.774892173988246,0.3478928805822239
2018,三島,三島,12.129043272333409,11.760811243969146,0.36823202836426283
2019,三島,三島,12.13652396059331,11.759783051119395,0.3767409094739147
2020,三島,三島,12.139697897941833,11.75331408935485,0.3863838085869826
2021,三島,三島,12.14537382857433,11.759613486989368,0.3857603415849624
2022,三島,三島,12.157568582631402,11.757686024911546,0.3998825577198559
2023,三島,三島,12.17600166864206,11.759662894096875,0.416338774545185
2024,三島,三島,12.197944189646178,11.764311524261458,0.4336326653847191
2025,三島,三島,12.227831883810486,11.77253727734221,0.4552946064682768
2009,三河安城,三河安城,11.71056550649513,11.644799870580217,0.06576563591491258
2010,三河安城,三河安城,11.71056550649513,11.642469993037178,0.06809551345795128
2011,三河安城,三河安城,11.811610588624324,11.648787327447868,0.16282326117645596
2012,三河安城,三河安城,11.855437881962507,11.667855425824383,0.18758245613812363
2013,三河安城,三河安城,11.887687209498166,11.738893233769081,0.1487939757290846
2014,三河安城,三河安城,11.902527270748868,11.757866348794233,0.1446609219546353
2015,三河安城,三河安城,11.914736843657034,11.778036708299126,0.13670013535790737
2016,三河安城,三河安城,11.921982019866938,11.789590494744925,0.13239152512201358
2017,三河安城,三河安城,11.936758625461927,11.803091561142548,0.13366706431937914
2018,三河安城,三河安城,11.9628512681392,11.821732019614233,0.1411192485249675
2019,三河安城,三河安城,11.996549967114325,11.851533831076091,0.14501613603823316
2020,三河安城,三河安城,11.991129793490398,11.849779163069808,0.1413506304205896
2021,三河安城,三河安城,11.999877696410799,11.864978233756652,0.13489946265414687
2022,三河安城,三河安城,12.038245095693263,11.905684526872463,0.13256056882080003
2023,三河安城,三河安城,12.100583732947507,11.962409993062906,0.1381737398846017
2024,三河安城,三河安城,12.155167908183074,12.020348510009999,0.1348193981730752
2025,三河安城,三河安城,12.183552952719815,12.05938921204456,0.1241637406752556
2009,京都,京都,12.555308897521032,12.609970449054003,-0.054661551532971586
2010,京都,京都,12.527916927765553,12.574393259237178,-0.04647633147162544
2011,京都,京都,12.512705331837482,12.564826150669345,-0.05212081883186315
2012,京都,京都,12.510344159741287,12.55938487859693,-0.049040718855643206
2013,京都,京都,12.515990834376403,12.562954325275971,-0.04696349089956797
2014,京都,京都,12.53297668152902,12.579282335649983,-0.04630565412096388
2015,京都,京都,12.561697378047501,12.60852251617761,-0.04682513813010836
2016,京都,京都,12.607553216607993,12.658520871912875,-0.05096765530488234
2017,京都,京都,12.692506171806613,12.73139286523516,-0.03888669342854634
2018,京都,京都,12.806991225927412,12.82179346911414,-0.014802243186728958
2019,京都,京都,12.914539312764553,12.908580619703956,0.005958693060597042
2020,京都,京都,12.931329440323973,12.920316601582426,0.01101283874154646
2021,京都,京都,12.930670109981893,12.926679566956466,0.003990543025427229
2022,京都,京都,13.125355339848738,12.977587406322495,0.14776793352624296
2023,京都,京都,13.670387142136242,13.04498672236139,0.6254004197748522
2024,京都,京都,13.65374989733708,13.122826926010987,0.5309229713260937
2025,京都,京都,14.004667323367123,13.255788713754418,0.7488786096127047
2009,名古屋,名古屋,14.035799124338656,12.46734932194249,1.5684498023961666
2010,名古屋,名古屋,13.954999009446983,12.422556379592322,1.5324426298546605
2011,名古屋,名古屋,13.935797980883025,12.420109650299233,1.5156883305837923
2012,名古屋,名古屋,13.943217893593047,12.41499100021201,1.5282268933810368
2013,名古屋,名古屋,13.9892959140904,12.433607367640658,1.5556885464497423
2014,名古屋,名古屋,14.133730955963093,12.510261972649186,1.6234689833139075
2015,名古屋,名古屋,14.020570966381278,12.575251152346928,1.4453198140343506
2016,名古屋,名古屋,14.139813134442445,12.637661621796036,1.5021515126464084
2017,名古屋,名古屋,14.291340919614834,12.696214677786404,1.5951262418284298
2018,名古屋,名古屋,14.40861819636674,12.762667435042538,1.6459507613242028
2019,名古屋,名古屋,14.527826089712155,12.84308595263625,1.6847401370759059
2020,名古屋,名古屋,14.504178371097371,12.836679936774157,1.667498434323214
2021,名古屋,名古屋,14.559326722599419,12.878430443535771,1.6808962790636475
2022,名古屋,名古屋,14.619774672692918,12.923058500583137,1.696716172109781
2023,名古屋,名古屋,14.682630499404013,12.974904141150596,1.7077263582534172
2024,名古屋,名古屋,14.762797122820572,13.029767597844979,1.7330295249755938
2025,名古屋,名古屋,14.809595337053333,13.06793344593386,1.7416618911194721
2009,品川,品川,14.05944319752377,14.172733709588755,-0.1132905120649852
2010,品川,品川,14.009570119702786,14.104414814028015,-0.09484469432522857
2011,品川,品川,13.991092468062448,14.068235689054088,-0.0771432209916405
2012,品川,品川,13.986553013614822,14.06114940969805,-0.0745963960832281
2013,品川,品川,14.126985441044862,14.080822957710575,0.046162483334287074
2014,品川,品川,14.173408111537736,14.114868061322172,0.058540050215563966
2015,品川,品川,14.23326757847322,14.172775874686817,0.06049170378640234
2016,品川,品川,14.295029906158165,14.236235731381617,0.05879417477654769
2017,品川,品川,14.35626054536546,14.307941828076395,0.04831871728906556
2018,品川,品川,14.418148706703215,14.370970045930118,0.04717866077309729
2019,品川,品川,14.489454846794127,14.460399775804087,0.02905507099004012
2020,品川,品川,14.52022843709253,14.478988168111488,0.04124026898104205
2021,品川,品川,14.540144190140527,14.480808402719427,0.059335787421099795
2022,品川,品川,14.566454592383659,14.501246304881974,0.06520828750168484
2023,品川,品川,14.62207245712337,14.551334095892877,0.07073836123049304
2024,品川,品川,14.716615078049209,14.652065279031763,0.06454979901744551
2025,品川,品川,14.86922663409882,14.769300797708796,0.09992583639002461
2009,小田原,小田原,12.200039481667128,11.965570343674612,0.2344691379925159
2010,小田原,小田原,12.176347698164301,11.94203297581067,0.2343147223536306
2011,小田原,小田原,12.160328589116894,11.923484320577979,0.23684426853891516
2012,小田原,小田原,12.152965057001259,11.918734329097928,0.23423072790333066
2013,小田原,小田原,12.150136304389308,11.91109785837704,0.23903844601226787
2014,小田原,小田原,12.17776199717129,11.906003142497287,0.27175885467400285
2015,小田原,小田原,12.177952052342905,11.89605149025686,0.28190056208604375
2016,小田原,小田原,12.17520643831208,11.887150876450146,0.28805556186193293
2017,小田原,小田原,12.1690801236692,11.871189616566065,0.29789050710313525
2018,小田原,小田原,12.175096829420841,11.860721506421182,0.3143753229996591
2019,小田原,小田原,12.17535509890954,11.850542844710697,0.32481225419884296
2020,小田原,小田原,12.165797932246559,11.834522011842513,0.3312759204040461
2021,小田原,小田原,12.158060976783709,11.828818767378584,0.32924220940512505
2022,小田原,小田原,12.15321817142276,11.82290567448016,0.3303124969426001
2023,小田原,小田原,12.165640828056564,11.827291938152834,0.33834888990372924
2024,小田原,小田原,12.188403397318025,11.855471476621274,0.33293192069675115
2025,小田原,小田原,12.228903000393682,11.872663799008405,0.35623920138527687
2009,岐阜羽島,岐阜羽島,10.719933402770453,10.66377486285136,0.056158539919092476
2010,岐阜羽島,岐阜羽島,10.69298380044129,10.668472346195804,0.024511454245486064
2011,岐阜羽島,岐阜羽島,10.670024888882628,10.606330226472256,0.0636946624103718
2012,岐阜羽島,岐阜羽島,10.647671661062866,10.582572213427001,0.0650994476358644
2013,岐阜羽島,岐阜羽島,10.7122552833279,10.571921346340375,0.14033393698752583
2014,岐阜羽島,岐阜羽島,10.6999577701097,10.556070207779072,0.14388756233062772
2015,岐阜羽島,岐阜羽島,10.692217309709287,10.542189550762021,0.1500277589472656
2016,岐阜羽島,岐阜羽島,10.687720679244665,10.53360152694565,0.15411915229901396
2017,岐阜羽島,岐阜羽島,10.683128231434017,10.492519892758873,0.19060833867514404
2018,岐阜羽島,岐阜羽島,10.678511473230806,10.482136795121594,0.19637467810921194
2019,岐阜羽島,岐阜羽島,10.677161629072291,10.47310751419623,0.20405411487606173
2020,岐阜羽島,岐阜羽島,10.675163670375547,10.458431761672697,0.2167319087028492
2021,岐阜羽島,岐阜羽島,10.679470086904189,10.447617058125426,0.23185302877876346
2022,岐阜羽島,岐阜羽島,10.690396116202741,10.440962736978912,0.24943337922382902
2023,岐阜羽島,岐阜羽島,10.70506597579414,10.436672007566557,0.2683939682275831
2024,岐阜羽島,岐阜羽島,10.720819727399489,10.435038838221333,0.2857808891781559
2025,岐阜羽島,岐阜羽島,10.734791518278394,10.43441716977336,0.3003743485050343
2009,掛川,掛川,11.3835289330845,11.244972605333867,0.1385563277506332
2010,掛川,掛川,11.363764188889956,11.223520611478175,0.1402435774117805
2011,掛川,掛川,11.346056449511064,11.203337124652705,0.14271932485835848
2012,掛川,掛川,11.328570488513094,11.185798773367617,0.14277171514547682
2013,掛川,掛川,11.323149448660088,11.17832990358874,0.1448195450713481
2014,掛川,掛川,11.322968267607038,11.175079889244806,0.14788837836223223
2015,掛川,掛川,11.31918869091193,11.167709296465192,0.15147939444673852
2016,掛川,掛川,11.313192858245674,11.156873124903369,0.15631973334230587
2017,掛川,掛川,11.308885696849888,11.146720598677181,0.1621650981727072
2018,掛川,掛川,11.305315222296178,11.138204836477296,0.16711038581888182
2019,掛川,掛川,11.303165915449025,11.132820255751815,0.17034565969720994
2020,掛川,掛川,11.285183800968431,11.117672070812036,0.1675117301563951
2021,掛川,掛川,11.277568508128901,11.109941065832553,0.1676274422963484
2022,掛川,掛川,11.27554529761737,11.106717226051101,0.1688280715662689
2023,掛川,掛川,11.276734233938102,11.105337391219583,0.17139684271851863
2024,掛川,掛川,11.282352483423871,11.106647042365914,0.17570544105795705
2025,掛川,掛川,11.295243660926973,11.111205213649317,0.18403844727765595
2009,新大阪,新大阪,13.029421323041412,12.693439100527344,0.3359822225140672
2010,新大阪,新大阪,12.976367601465803,12.638369463753795,0.3379981377120078
2011,新大阪,新大阪,12.961218394248792,12.620193039562354,0.3410253546864386
2012,新大阪,新大阪,12.950457107164539,12.616869972324885,0.33358713483965374
2013,新大阪,新大阪,12.952777298205193,12.633012707856917,0.3197645903482762
2014,新大阪,新大阪,12.971146758511773,12.707022088049559,0.26412467046221444
2015,新大阪,新大阪,12.991145865676947,12.739519843445885,0.25162602223106134
2016,新大阪,新大阪,13.010878447459357,12.787451431324609,0.2234270161347478
2017,新大阪,新大阪,13.040157471580716,12.82340212946489,0.21675534211582637
2018,新大阪,新大阪,13.089322276134409,12.866349105273747,0.22297317086066215
2019,新大阪,新大阪,13.243218378607217,12.92852025220683,0.31469812640038697
2020,新大阪,新大阪,13.299288043908708,12.950562695200192,0.34872534870851624
2021,新大阪,新大阪,13.290281065123782,12.946574008679393,0.3437070564443889
